site_code,store_number,brand,station_name,address,city,state,zip,latitude,longitude,phone,fuel_type,retail_price,discount_price,your_price,effective_date,parking_spaces_count,fuel_lane_count,shower_count,amenities,restaurants,source,pricing_city,pricing_state,location_city,location_state,is_usa,is_canada,missing_coordinates,missing_current_price
308,308,Pilot,Pilot Travel Center,1564 N McCue St,Laramie,WY,82072,41.32714120441457,-105.61045092261504,(307) 742-6443,DSL,5.059,5.009,4.1852,2026-06-18,100,9,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Laramie,WY,Laramie,WY,yes,no,no,no
309,309,Pilot,Pilot Travel Center,44133 Fairground Rd,Caldwell,OH,43724,39.7375172,-81.5276703,(740) 732-5656,DSL,5.259,5.209,4.2697,2026-06-18,32,5,5,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Arby's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Caldwell,OH,Caldwell,OH,yes,no,no,no
310,310,Pilot,Pilot Travel Center,1405 E Main St,Duncan,SC,29334,34.9154369,-82.1081168,(864) 433-1221,DSL,4.799,4.749,4.0393,2026-06-18,35,6,8,Diesel Lanes | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Duncan,SC,Duncan,SC,yes,no,no,no
311,311,Pilot,Pilot Travel Center,8035 Perry Hwy,Erie,PA,16509,42.06951851491608,-80.03856261858165,(814) 864-8536,DSL,5.799,5.749,4.4668,2026-06-18,45,7,5,Electric Vehicle Charging Station | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Erie,PA,Erie,PA,yes,no,no,no
312,312,Pilot,Pilot Travel Center,882 GA-100,Tallapoosa,GA,30176,33.6825924073037,-85.26285560724183,(770) 574-9922,DSL,4.599,4.549,4.2143,2026-06-18,90,8,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Taco Bell | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Tallapoosa,GA,Tallapoosa,GA,yes,no,no,no
313,313,Pilot,Pilot Travel Center,699 IL-203,East Saint Louis,IL,62201,38.6521180055513,-90.13190753733092,(618) 875-5800,DSL,5.159,5.109,4.4575,2026-06-18,200,9,11,Electric Vehicle Charging Station | Mobile Ordering,Taco Bell | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,East St Louis,IL,East Saint Louis,IL,yes,no,no,no
317,317,Pilot,Pilot Travel Center,4500 Hwy 43,Joplin,MO,64804,37.00457624942932,-94.55251308902434,(417) 781-0255,DSL,4.569,4.519,3.9171,2026-06-18,90,9,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Joplin,MO,Joplin,MO,yes,no,no,no
321,321,Pilot,Pilot Travel Center,11229 Frontage Rd,Walton,KY,41094,38.91737631038006,-84.63245170304107,(859) 365-0368,DSL,4.799,4.749,4.0614,2026-06-18,0,6,3,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Walton,KY,Walton,KY,yes,no,no,no
322,322,Pilot,Pilot Travel Center,7767 State Route 53,Bath,NY,14810,42.37723877582238,-77.36399323439332,(607) 776-2012,DSL,5.599,5.549,4.4738,2026-06-18,70,7,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats,Pilot/Flying J pricing + locations,Bath,NY,Bath,NY,yes,no,no,no
324,324,Pilot,Pilot Travel Center,13712 Northwestern Ave,Franksville,WI,53126,42.7790963547738,-87.95157807147768,(262) 835-2292,DSL,5.099,5.049,4.0067,2026-06-18,80,7,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Arby's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Franksville,WI,Franksville,WI,yes,no,no,no
328,328,Pilot,Pilot Travel Center,1201 W Main St,Quartzsite,AZ,85346,33.661555948477975,-114.23679187368013,(928) 927-7777,DSL,5.159,5.109,4.4335,2026-06-18,45,9,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Taco Bell | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Quartzsite,AZ,Quartzsite,AZ,yes,no,no,no
329,329,Pilot,Pilot Travel Center,2647 S 24th St,Council Bluffs,IA,51501,41.235650407984025,-95.87828884875262,(712) 322-0088,DSL,4.899,4.849,3.9756,2026-06-18,80,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Arby's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Council Bluffs,IA,Council Bluffs,IA,yes,no,no,no
330,330,Pilot,Pilot Travel Center,4142 TX-337 Loop,New Braunfels,TX,78130,29.6763531,-98.1560214,(830) 629-1424,DSL,4.479,4.429,3.9421,2026-06-18,120,9,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,New Braunfels,TX,New Braunfels,TX,yes,no,no,no
331,331,Pilot,Pilot Travel Center,2605 Bouldercrest Rd,Atlanta,GA,30316,33.68527986504485,-84.31148729686672,(404) 855-0483,DSL,5.259,5.209,4.2493,2026-06-18,85,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Wendy's | Pilot Eats,Pilot/Flying J pricing + locations,Atlanta,GA,Atlanta,GA,yes,no,no,no
332,332,Pilot,Pilot Travel Center,3300 AR-391,North Little Rock,AR,72117,34.781197952345856,-92.12783413251053,(501) 945-2226,DSL,4.599,4.549,3.9921,2026-06-18,138,11,10,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Pizza Hut | Subway | Pilot Eats,Pilot/Flying J pricing + locations,North Little Rock,AR,North Little Rock,AR,yes,no,no,no
335,335,Pilot,Pilot Travel Center,103 Grimshaw St,Rayville,LA,71269,32.45940758197811,-91.7593958134918,(318) 728-4100,DSL,4.599,4.549,3.9729,2026-06-18,85,7,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Rayville,LA,Rayville,LA,yes,no,no,no
336,336,Pilot,Pilot Travel Center,1742 Rich Hwy,DuBois,PA,15801,41.1410550850312,-78.78318949206543,(814) 375-6046,DSL,5.699,5.649,4.6329,2026-06-18,65,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Arby's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Dubois,PA,DuBois,PA,yes,no,no,no
337,337,Pilot,Pilot Travel Center,2015 W Lucas St,Florence,SC,29501,34.23256102007648,-79.80240283883901,(843) 662-2646,DSL,4.599,4.549,4.0734,2026-06-18,90,7,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Cinnabon | Subway | Taco Bell | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Florence,SC,Florence,SC,yes,no,no,no
338,338,Pilot,Pilot Travel Center,3008 Highway 321,West Columbia,SC,29033,33.92997680457457,-81.07820195441835,(803) 739-2921,DSL,4.759,4.709,4.1595,2026-06-18,90,7,5,Electric Vehicle Charging Station | Mobile Ordering,Cinnabon | Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,West Columbia,SC,West Columbia,SC,yes,no,no,no
340,340,Pilot,Pilot Travel Center,465 Pilot Rd,Fernley,NV,89408,39.613715724713494,-119.26588563239028,(775) 575-5115,DSL,5.599,5.549,4.4801,2026-06-18,100,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Truck Wash | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Fernley,NV,Fernley,NV,yes,no,no,no
341,341,Pilot,Pilot Travel Center,3812 E Craig Rd,North Las Vegas,NV,89031,36.2409528,-115.0978424,(702) 644-1600,DSL,5.099,5.049,4.5726,2026-06-18,55,7,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Dunkin Donuts | Pilot Eats,Pilot/Flying J pricing + locations,North Las Vegas,NV,North Las Vegas,NV,yes,no,no,no
343,343,Pilot,Pilot Travel Center,1497 Piper Ranch Rd,San Diego,CA,92154,32.56837388993204,-116.95276544158293,(619) 661-9558,DSL,6.959,6.909,5.5281,2026-06-18,124,8,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Cinnabon | Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,San Diego,CA,San Diego,CA,yes,no,no,no
346,346,Pilot,Pilot Travel Center,522 Hwy 601 S,Lugoff,SC,29078,34.19251849604202,-80.68683926441801,(803) 438-5175,DSL,4.399,4.349,4.1695,2026-06-18,60,6,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Lugoff,SC,Lugoff,SC,yes,no,no,no
348,348,Pilot,Pilot Dealer,205 Wilson Rd,Bentleyville,PA,15314,40.13163320356099,-80.00095796560667,(724) 239-5855,DSL,5.759,5.709,4.5832,2026-06-18,90,0,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash,,Pilot/Flying J pricing + locations,Bentleyville,PA,Bentleyville,PA,yes,no,no,no
350,350,Pilot,Pilot Travel Center,1050 US-20,Mountain Home,ID,83647,43.14207101330615,-115.66325638860148,(208) 587-4465,DSL,5.359,5.309,4.0737,2026-06-18,100,9,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Arby's | Pilot Eats,Pilot/Flying J pricing + locations,Mountain Home,ID,Mountain Home,ID,yes,no,no,no
353,353,Pilot,Pilot Travel Center,110 Triport Rd,Georgetown,KY,40324,38.27605548759607,-84.55335544912026,(502) 863-2708,DSL,4.799,4.749,4.095,2026-06-18,175,12,12,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Georgetown,KY,Georgetown,KY,yes,no,no,no
354,354,Pilot,Pilot Travel Center,819 Buck Creek Rd,Simpsonville,KY,40067,38.210181957952784,-85.34812994171621,(502) 722-5636,DSL,4.999,4.949,4.1328,2026-06-18,25,7,7,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Simpsonville,KY,Simpsonville,KY,yes,no,no,no
356,356,Pilot,Pilot Travel Center,2050 E Blue Lick Rd,Shepherdsville,KY,40165,38.06087344786319,-85.70308640244674,(502) 955-5049,DSL,4.899,4.849,4.1178,2026-06-18,57,11,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats,Pilot/Flying J pricing + locations,Shepherdsville,KY,Shepherdsville,KY,yes,no,no,no
358,358,Pilot,Pilot Travel Center,5353 Cairo Rd,Paducah,KY,42001,37.09749515428461,-88.69117281349182,(270) 443-2044,DSL,4.599,4.549,4.0652,2026-06-18,52,8,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Paducah,KY,Paducah,KY,yes,no,no,no
360,360,Pilot,Pilot Travel Center,11471 OH-613,Findlay,OH,45840,41.136826925351244,-83.66038718114063,(567) 221-7904,DSL,4.699,4.649,4.4731,2026-06-18,80,8,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Taco Bell | Pilot Eats,Pilot/Flying J pricing + locations,Findlay,OH,Findlay,OH,yes,no,no,no
365,365,Pilot,Pilot Travel Center,22717 Ave 18 1/2,Madera,CA,93637,37.018868769700454,-120.13309610344751,(559) 673-3878,DSL,6.399,6.349,5.6116,2026-06-18,81,12,11,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | DEF Lanes | IdleAir | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Cinnabon | Denny's | Subway | Pilot Eats,Pilot/Flying J pricing + locations,Madera,CA,Madera,CA,yes,no,no,no
366,366,Pilot,Pilot Travel Center,30 Sand Pebble Dr,Jackson,TN,38305,35.682945179393094,-88.77758901995591,(731) 422-5545,DSL,4.999,4.949,4.1202,2026-06-18,95,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Denny's | Pilot Eats,Pilot/Flying J pricing + locations,Jackson,TN,Jackson,TN,yes,no,no,no
367,367,Pilot,Pilot Travel Center,2226 FM 1903,Caddo Mills,TX,75135,33.04362810400574,-96.17789356448746,(903) 527-2150,DSL,4.429,4.379,3.9722,2026-06-18,80,8,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Pilot Eats,Pilot/Flying J pricing + locations,Caddo Mills,TX,Caddo Mills,TX,yes,no,no,no
368,368,Pilot,Pilot Travel Center,4030 E Boyd Rd,Decatur,IL,62521,39.907519,-88.895694,(217) 876-0208,DSL,4.859,4.809,4.5687,2026-06-18,70,9,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Decatur,IL,Decatur,IL,yes,no,no,no
370,370,Pilot,Pilot Travel Center,417 PA-315,Pittston,PA,18640,41.314110735783714,-75.75502052387314,(570) 655-4116,DSL,5.899,5.849,4.7053,2026-06-18,58,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Pittston,PA,Pittston,PA,yes,no,no,no
372,372,Pilot,Pilot Travel Center,31642 Castiac Rd,Castaic,CA,91384,34.49454436998097,-118.61992535714718,(661) 243-0487,DSL,6.499,6.449,5.6417,2026-06-18,54,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Pilot Eats,Pilot/Flying J pricing + locations,Castaic,CA,Castaic,CA,yes,no,no,no
373,373,Pilot,Pilot Travel Center,11957 Douglas Avenue,Urbandale,IA,50322,41.63025206734957,-93.77945434456635,(515) 276-1509,DSL,4.599,4.549,3.9312,2026-06-18,140,15,17,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash | Mobile Ordering,Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Urbandale,IA,Urbandale,IA,yes,no,no,no
374,374,Pilot,Pilot Travel Center,2209 FL-71,Marianna,FL,32448,30.725566267632836,-85.18662836842249,(850) 482-2148,DSL,4.699,4.649,4.3027,2026-06-18,90,7,7,Electric Vehicle Charging Station | Mobile Ordering,Arby's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Marianna,FL,Marianna,FL,yes,no,no,no
375,375,Pilot,Pilot Travel Center,4440 N McCarty St,Houston,TX,77013,29.800299216049957,-95.26764981916281,(713) 675-3375,DSL,4.319,4.269,3.9003,2026-06-18,98,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Houston,TX,Houston,TX,yes,no,no,no
377,377,Pilot,Pilot Travel Center,1101 Uniroyal Dr,Laredo,TX,78045,27.68405977487452,-99.46147054232789,(956) 717-5006,DSL,4.959,4.909,4.2061,2026-06-18,125,9,11,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,McDonalds | Pilot Eats,Pilot/Flying J pricing + locations,Laredo,TX,Laredo,TX,yes,no,no,no
380,380,Pilot,Pilot Travel Center,107 7th North St,Liverpool,NY,13088,43.086718,-76.165752,(315) 424-0124,DSL,5.599,5.549,4.4323,2026-06-18,81,8,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Pilot Eats,Pilot/Flying J pricing + locations,Liverpool,NY,Liverpool,NY,yes,no,no,no
381,381,Pilot,Pilot Travel Center,8701 US-395,Hesperia,CA,92344,34.408487241982954,-117.3986286766691,(760) 956-2844,DSL,6.659,6.609,5.4562,2026-06-18,217,8,10,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Cinnabon | Wendy's | Pilot Eats,Pilot/Flying J pricing + locations,Hesperia,CA,Hesperia,CA,yes,no,no,no
384,384,Pilot,Pilot Travel Center,2126 Ruffin Mill Rd,Colonial Heights,VA,23834,37.3108667,-77.3915178,(804) 524-9556,DSL,5.359,5.309,4.163,2026-06-18,110,10,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Colonial Heights,VA,Colonial Heights,VA,yes,no,no,no
385,385,Pilot,Pilot Travel Center,9890 MO-13,Collins,MO,64738,37.874340259276885,-93.62130251653291,(417) 275-4796,DSL,4.659,4.609,4.2288,2026-06-18,65,8,3,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Collins,MO,Collins,MO,yes,no,no,no
386,386,Pilot,Pilot Travel Center,4220 Brooklake Rd NE,Salem,OR,97305,45.04875945286386,-122.974879362258,(503) 463-1114,DSL,5.299,5.249,4.1138,2026-06-18,88,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Taco Bell | Pilot Eats,Pilot/Flying J pricing + locations,Salem,OR,Salem,OR,yes,no,no,no
388,388,Pilot,Pilot Travel Center,1555 Tommy Webb Dr,Meridian,MS,39307,32.34617329314127,-88.72819891769377,(601) 484-5106,DSL,4.599,4.549,3.9215,2026-06-18,100,10,7,Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Cinnabon | Subway | Pilot Eats,Pilot/Flying J pricing + locations,Meridian,MS,Meridian,MS,yes,no,no,no
390,390,Pilot,Pilot Travel Center,2115 S Hwy 395,Stanfield,OR,97875,45.765959885274036,-119.20570871753203,(541) 449-1403,DSL,5.399,5.349,4.2347,2026-06-18,112,7,0,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Cinnabon | McDonalds | Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Stanfield,OR,Stanfield,OR,yes,no,no,no
391,391,Pilot,Pilot Travel Center,1600 E Pine St,Central Point,OR,97502,42.377970555721724,-122.89909159260763,(541) 664-7001,DSL,5.459,5.409,4.3111,2026-06-18,93,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Subway | Taco Bell | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Central Point,OR,Central Point,OR,yes,no,no,no
393,393,Pilot,Pilot Travel Center,3712 Crabtree Rd,Waynesville,NC,28785,35.5727,-82.955867,(828) 627-8611,DSL,5.159,5.109,4.2043,2026-06-18,39,6,5,Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Waynesville,NC,Waynesville,NC,yes,no,no,no
394,394,Pilot,Pilot Travel Center,239 Route 17K,Newburgh,NY,12550,41.521248,-74.112935,(845) 567-1722,DSL,5.799,5.749,4.4924,2026-06-18,106,7,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Arby's | Cinnabon | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Newburgh,NY,Newburgh,NY,yes,no,no,no
